community_area,total_population,median_income,pct_white,pct_black,pct_hispanic,pct_bachelors,pct_owner,unemployment_rate,num_block_groups,ca_name,louvain_community,kmeans_5,kmeans_6,kmeans_7,kmeans_8,kmeans_cluster
1,55643,49701.80981997991,44.28948834534443,27.063601890624156,3.121686465503298,5.625864363437101,25.770589179643604,68.84542803225253,37,Rogers Park,0.0,3,1,2,0,1
2,78763,64021.84465824008,42.05401013166081,11.637443977502128,4.013305740004824,6.025974025974026,28.856933008620356,64.93231528407576,45,West Ridge,0.0,3,1,2,0,1
3,59453,60657.78802372626,53.16973071165458,18.084873765831833,2.590281398751955,4.541561389233865,25.24378430739425,73.2570259053611,42,Uptown,0.0,3,1,2,0,1
4,41350,82567.86079956806,64.30471584038693,2.9842805320435306,5.496977025392987,4.705211829523146,23.716249120718576,79.07950999653299,37,Lincoln Square,0.0,2,4,3,5,4
5,36142,140789.98644236624,74.71916330031543,2.5538155055060594,4.147529190415583,3.770413064361191,21.029711315586148,82.58462219925437,28,North Center,0.0,2,4,3,5,4
6,101428,103865.73513448918,76.17226012540915,4.243404188192609,2.9104389320503214,3.13107689073422,21.617124696204897,83.75708574165024,82,Lake View,0.0,2,4,3,5,4
7,69568,131583.62918682545,79.97498850045999,3.7890984360625577,2.3214696412143514,2.9213020189534404,21.66770768269831,76.18833857050227,51,Lincoln Park,0.0,2,4,3,6,4
8,98528,118905.67518686084,69.04636245534265,7.167505683663528,2.7849951282884056,2.242575094850294,25.486959392538793,75.99657326277436,67,Near North Side,0.0,2,4,3,6,4
9,11002,126711.49101331002,82.72132339574623,0.4181057989456462,4.017451372477732,3.321353327549882,24.164985429275948,73.33562113932739,10,Edison Park,0.0,2,4,3,6,4
10,38088,97165.04891608,76.92974165091367,0.6537492123503466,1.837849191346356,5.446006023232468,28.03845893425418,64.75118100045299,34,Norwood Park,0.0,3,1,2,6,1
11,27194,81032.0163701629,58.21504743693462,2.625579171876149,2.765315878502611,4.966117123495499,27.221746982226023,69.2311187857857,21,Jefferson Park,0.0,3,1,2,0,1
12,19928,131997.68863234646,73.86089923725412,0.5570052187876355,2.072460859092734,5.016651314390987,25.105902287489418,66.07760026084122,17,Forest Glen,0.0,2,4,3,6,4
13,18806,65392.77178234693,48.74508135701372,2.238647240242476,2.8873763692438583,6.450861667442943,26.887633769322232,60.0355122977772,13,North Park,0.0,3,1,2,0,1
14,49280,69901.97871063183,33.638392857142854,5.113636363636364,2.2747564935064934,9.745914350471192,25.813371469431537,71.64065859025266,34,Albany Park,0.0,3,5,0,3,5
15,63919,75172.54938271605,47.00010951360316,1.6395750872197623,1.982196217087251,6.1276198519769745,27.19659710221986,69.24341476469013,52,Portage Park,0.0,3,1,2,0,1
16,53604,77199.17029471841,43.99858219535855,2.7348705320498468,2.8206850235057086,7.564159119806939,26.061388410786,74.70997145750852,45,Irving Park,0.0,3,1,2,0,1
17,43587,75569.22916716944,59.71505265331406,2.0854842040057817,0.8649367930805056,4.688238444815527,30.04532292584666,66.6169236721384,35,Dunning,0.0,3,5,2,3,5
18,14382,68844.83630748112,36.20497844527882,3.115004867195105,1.6548463356973997,8.936951642521935,33.45620121422376,63.855943208380225,11,Montclare,2.0,0,5,0,3,5
19,78788,60799.07895988584,14.30674722038889,2.444534700715845,0.6968066202975073,10.715911565029788,27.71641068520882,66.0343640358068,47,Belmont Cragin,2.0,0,5,0,3,5
20,23163,54914.36037085352,9.890774079350688,4.515822648188922,0.4274057764538272,10.720573850668403,28.615213151295627,68.16313457534832,17,Hermosa,2.0,0,5,0,3,5
21,37360,78279.94844840636,35.602248394004285,2.157387580299786,3.051391862955032,6.317520840342416,24.958136148525664,74.97893850042124,26,Avondale,0.0,3,1,2,0,1
22,72305,91002.5741923553,52.013000484060576,4.471336698706867,2.9292580042873935,5.68721251149954,22.073675098586133,80.60491246407108,61,Logan Square,0.0,2,4,3,5,4
23,54401,44799.508423833286,9.020054778404807,33.08578886417529,1.0202018345251007,10.105343021389594,34.71604660325322,65.54385964912281,42,Humboldt Park,2.0,0,2,4,1,2
24,80383,113973.13206271447,62.78317554706842,5.992560616050657,3.543037706977844,3.5167460403642403,21.15165026371595,83.46633839884541,59,West Town,0.0,2,4,3,5,4
25,95073,43866.21135089377,5.284360438820696,75.67974083073007,1.1412283192914918,8.224902649824294,36.35874600280924,58.118922408575536,84,Austin,1.0,4,0,1,2,0
26,16489,29947.73830800339,2.7654800169810176,92.41312390078234,1.1765419370489418,6.395348837209303,27.22455691576832,53.499642488281566,15,West Garfield Park,1.0,4,3,1,2,3
27,18075,26127.785977859778,5.941908713692946,84.8686030428769,2.5283540802213,5.545774647887324,25.93727206418672,54.79764532744665,18,East Garfield Park,1.0,1,3,5,7,3
28,62816,91015.72552685528,43.62264391237901,24.218352012226184,3.0374426897605704,2.942307257389692,22.006165520512212,72.25598594127554,37,Near West Side,0.0,2,1,3,0,1
29,31310,36257.296402821004,4.774832321941871,82.66049185563718,0.415202810603641,8.006469874646179,34.504059301094244,55.56744300880586,32,North Lawndale,1.0,4,0,1,2,0
30,70235,38429.55315700288,5.5300064070620065,12.960774542606964,0.296148643838542,14.044591690544411,36.052786237110645,49.04155084653984,43,South Lawndale,2.0,0,2,4,1,2
31,32672,61145.98662348178,22.26677277179236,3.121939275220372,1.5915768854064642,9.16014204423908,25.973717542748577,71.52460633517225,24,Lower West Side,2.0,3,5,0,3,5
32,39327,115244.2726774816,58.97729295395021,7.079105957738959,2.240191217229893,1.4682371366113087,22.587876186388133,72.59247363631496,15,Loop,0.0,2,4,3,6,4
33,26376,118467.58980151686,51.39520776463452,22.490142553836822,2.126933575978162,2.4644054512996907,30.147719974309567,77.28812124290916,12,Near South Side,0.0,2,4,3,6,4
34,13401,48821.29757223457,13.901947615849563,8.93216924110141,0.6865159316468921,14.484623860562955,22.057205720572057,55.81498579545454,8,Armour Square,2.0,0,2,0,3,2
35,21450,46190.242658050825,10.582750582750585,65.1002331002331,2.9976689976689976,4.470440777104658,22.36686390532544,54.45252282293773,18,Douglas,1.0,1,3,5,7,3
36,6973,41743.98264735408,4.402696113580955,86.66284239208375,0.8748028108418184,4.635453063126019,21.787531806615775,71.79737922941521,6,Oakland,1.0,1,3,6,7,3
37,2149,17944.49744067008,3.1177291763610984,89.3438808748255,1.44253140995812,11.47098515519568,29.30273609885261,40.62326099053979,4,Fuller Park,1.0,4,0,1,2,0
38,23669,47260.917677007375,4.12353711605898,89.5686340783303,1.9054459419493852,6.135597302504817,23.6144578313253,63.06014919922792,22,Grand Boulevard,1.0,1,3,5,7,3
39,17972,59319.10399764844,20.9158691297574,66.0137992432673,3.9561540173603382,3.307086614173228,21.954443766524303,63.370012826571255,13,Kenwood,1.0,1,3,5,7,3
40,10427,25793.53288418351,1.8317828713915796,91.67545794571784,3.3950321281288964,5.506746156259806,26.411075612353567,57.45289148797921,10,Washington Park,1.0,1,3,5,7,3
41,27722,60631.336448213406,46.962701103816464,24.431859173219824,4.808455378399827,3.2905744562186277,23.13541971336648,62.27947353682441,23,Hyde Park,0.0,3,1,2,0,1
42,24967,40109.0431009182,7.890415348259702,82.67312852965915,2.5753995273761365,5.485102191578429,28.66636322257624,59.60873431479102,25,Woodlawn,1.0,1,3,5,7,3
43,50275,37591.864075842765,2.908005967180507,92.9786176031825,1.129786176031825,3.952693074950128,32.237327889501806,64.84052532833022,46,South Shore,1.0,4,0,1,4,0
44,31363,44007.083363063386,0.8576985619998087,96.46079775531678,1.4571310142524632,3.9648167165245343,33.32405345211581,56.72650878533232,31,Chatham,1.0,4,0,1,4,0
45,9629,52359.869859277846,0.8308235538477516,94.74504102191295,1.6304912244262126,4.612068965517242,39.69034160727452,57.560855667568234,10,Avalon Park,1.0,4,0,1,4,0
46,29977,42557.57267957172,2.8588584581512495,75.27437702238383,0.5771091169896921,7.430240103828682,35.766826038984924,61.628363350922335,31,South Chicago,1.0,4,0,1,4,0
47,2180,48211.00917431193,2.522935779816514,88.89908256880734,1.4220183486238531,4.822777454968042,31.75403225806452,56.40495867768595,2,Burnside,1.0,4,0,1,4,0
48,12343,76894.21710114703,0.874989872802398,93.437575953982,0.1458316454670663,4.475597092419522,39.55278592375366,55.897340869081816,15,Calumet Heights,1.0,4,0,1,4,0
49,39623,45725.749490502974,1.5344623072457917,95.3082805441284,1.1205612901597557,5.630026809651475,30.61075926330349,54.88790080160321,42,Roseland,1.0,4,0,1,4,0
50,7131,51412.27513672697,12.01794979666246,80.38143317907726,2.552236712943486,6.035613870665417,32.469098583056976,67.59243767776476,8,Pullman,1.0,1,3,5,4,3
51,15144,34168.32829744889,4.972266244057052,63.69519281563656,0.3433703116745906,7.562939557639384,31.25348189415042,53.78172588832487,11,South Deering,1.0,4,0,1,2,0
52,22999,56618.7478151224,12.883168833427542,1.773990173485804,0.1826166355058915,15.055921995985088,29.007305543618394,59.97185245997771,16,East Side,2.0,0,2,4,1,2
53,26484,49107.469698482426,0.8797764688113577,90.20540703821176,1.6840356441625133,6.599788806758183,32.04237007613373,63.05905963302752,24,West Pullman,1.0,4,0,1,4,0
54,7414,19627.802670623147,0.9711356892365794,95.3736174804424,0.0,3.6699635606454977,22.5607544432354,60.10722795869737,5,Riverdale,1.0,1,3,6,7,3
55,9175,64545.27104351754,36.904632152588555,6.877384196185286,0.1852861035422343,9.34278350515464,36.44140290846878,56.23911003886879,8,Hegewisch,2.0,0,2,4,1,2
56,36049,83297.54690612915,40.85550223307165,4.635357430164498,0.6075064495547727,8.470951645479387,28.298217179902757,65.5356891454315,33,Garfield Ridge,2.0,3,5,0,3,5
57,13533,49912.36297625847,14.71218502918791,0.7684918347742555,0.1921229586935638,11.617391304347828,31.655372700871247,62.06567392134402,10,Archer Heights,2.0,0,2,4,1,2
58,42728,49827.35683393129,7.402639955064595,1.355083317730762,0.6740310803220371,14.595281167006656,32.33766233766234,62.97143932031225,30,Brighton Park,2.0,0,2,4,1,2
59,15246,62355.16627312082,15.413879050242688,1.2068739341466614,0.5968778696051423,8.395942900075132,27.823332090942976,68.73661670235546,11,McKinley Park,2.0,0,5,0,3,5
60,32901,61574.12321293587,35.39710039208535,2.237014072520592,0.6382784717789733,7.073440767622094,27.924996125832948,66.2569590051334,27,Bridgeport,2.0,3,5,0,3,5
61,39055,41289.90267971076,12.44654973754961,23.095634361797465,0.821917808219178,14.067908356683697,34.030389649465924,63.06885870860138,36,New City,2.0,0,2,4,1,2
62,18523,63829.49833656778,14.706041138044592,0.6748366895211358,0.0755817092263672,10.338835794960904,38.7520829476023,65.68795542220317,15,West Elsdon,2.0,0,2,4,1,2
63,35300,46029.666919695104,3.569405099150141,4.671388101983003,0.0793201133144475,13.974871227073605,33.81074168797954,61.15205805646898,23,Gage Park,2.0,0,2,4,1,2
64,24382,58021.87335324082,39.00418341399393,2.546960872774998,0.5741940775982282,6.866303690260134,28.27594176103536,65.2123265911257,20,Clearing,2.0,3,5,0,3,5
65,32162,60321.86289980187,11.874261550898575,2.490516758908028,0.0590759281139232,14.94402499349128,36.56277244986922,65.04506781231572,24,West Lawn,2.0,0,2,4,1,2
66,51243,42320.05720979595,2.43350311262026,39.74981948753976,1.5338680405128506,12.362508226003571,35.163712826674676,60.96061331069434,43,Chicago Lawn,2.0,0,2,4,1,2
67,26158,31716.412740715263,1.50240844101231,86.90649132196651,0.9824910161327318,9.418578497525866,34.839665573076516,50.795857704477896,36,West Englewood,1.0,4,0,1,2,0
68,22019,24655.644891605167,1.1580907398156135,92.0931922430628,1.362459693900722,10.1190052020238,38.959197032511454,50.80120481927711,33,Englewood,1.0,4,0,1,2,0
69,29429,34426.54136904762,0.873288253083693,95.58938462061232,1.0431886914268238,5.658570996674393,31.329526916802607,57.3226988575124,36,Greater Grand Crossing,1.0,4,0,1,4,0
70,42902,74204.58988156726,10.069460631206004,45.042189175329824,0.964989977157242,6.972256608170101,29.252647036092434,64.89474481296381,28,Ashburn,,0,5,0,3,5
71,46698,45821.057619172905,1.045012634374063,94.5479463788599,0.6381429611546533,5.672120628809753,33.12467396974439,55.68913578199707,48,Auburn Gresham,1.0,4,0,1,4,0
72,19817,115591.0443631738,56.14371499217843,33.11298380178634,3.4818590099409596,3.761283851554664,25.723951285520975,66.26145621181263,19,Beverly,0.0,2,1,3,6,1
73,26940,55516.224300228074,1.674090571640683,95.47884187082406,1.1284335560504826,4.606556506030498,34.55149501661129,55.52083333333333,25,Washington Heights,1.0,4,0,1,4,0
74,18840,105213.87239568304,81.1411889596603,3.232484076433121,1.5498938428874736,5.065831727681439,28.98488120950324,64.67726462929971,17,Mount Greenwood,0.0,3,1,2,6,1
75,20526,70324.93908658205,30.385852090032156,61.419662866608206,2.752606450355646,4.6115668298063,32.64339152119701,61.305616338439094,22,Morgan Park,,1,3,5,4,3
76,13285,58108.07557395559,67.15092209258562,6.714339480617237,1.7086940158073014,3.0490121580547114,26.25386996904025,71.5060077694462,8,O'Hare,0.0,3,1,2,0,1
77,58693,64814.46553424089,53.519159013851734,13.257117543829755,2.956059496021672,4.4320903557538065,22.11145725164417,69.59229790547084,47,Edgewater,0.0,3,1,2,0,1
